_object	#	Assign F1	Assign F2	Pos F1	Pos F2	LW F1 (Hz)	LW F2 (Hz)	Height	S/N	Volume	ClusterId	Merit	Annotation	Comment
<PK:4-1.1.14931: @(4.163, 45.42)>	14931			4.162604471978742	45.419849348244526	33.510365308477276	48.142771803490476	19697.16015625	11.490839431821378	None	None	1.0		
<PK:4-1.1.14932: @(3.629, 45.42)>	14932			3.629418384103266	45.4204054122614	47.14379648272036	57.4600872705164	17789.15234375	10.377754538660195	None	None	1.0		
<PK:4-1.1.14933: @(4.1, 44.73)>	14933			4.100180161185897	44.726783422843184	31.858551292083153	51.63500875072633	17984.509765625	10.491721260196341	None	None	1.0		
<PK:4-1.1.14934: @(4.121, 44.17)>	14934			4.120667118244244	44.170449379591574	127.59575381492937	47.32213995378949	5848.37548828125	3.411798611563609	None	None	1.0		
<PK:4-1.1.14935: @(4.102, 43.08)>	14935			4.101691249282316	43.075532846334	36.879657552792416	55.18354515990483	25964.533203125	15.147070927614658	None	None	1.0		
<PK:4-1.1.14936: @(4.057, 44.12)>	14936			4.057014592920186	44.122517910014	32.36035207429752	60.058355776836024	17746.587890625	10.352923482178813	None	None	1.0		
<PK:4-1.1.14937: @(3.885, 44.73)>	14937			3.885058913921565	44.73427598770654	31.98362910785731	40.3461972777934	18846.013671875	10.994301478769856	None	None	1.0		
<PK:4-1.1.14938: @(3.781, 43.15)>	14938			3.7809496001506187	43.14692048479284	42.18501719431229	69.71535090681002	35036.546875	20.439460876209683	None	None	1.0		
<PK:4-1.1.14939: @(3.781, 43.15)>	14939			3.7809496001506187	43.14692048479284	42.18501719431229	69.71535090681002	35036.546875	20.439460876209683	None	None	1.0		
<PK:4-1.1.14940: @(3.781, 43.15)>	14940			3.7809496001506187	43.14692048479284	42.18501719431229	69.71535090681002	35036.546875	20.439460876209683	None	None	1.0		
<PK:4-1.1.14941: @(2.426, 42.86)>	14941			2.426246921547442	42.85646663357869	30.256828699165382	54.806324086435446	17004.693359375	9.920120435124584	None	None	1.0		
<PK:4-1.1.14942: @(3.713, 42.71)>	14942			3.712740993095103	42.706297855176246	32.78237552596968	89.02991312029566	28649.365234375	16.713335989571593	None	None	1.0		
<PK:4-1.1.14943: @(3.415, 41.66)>	14943			3.415063835749269	41.655869036287086	31.927830348603187	46.600876173571386	82974.8203125	48.40547213566897	None	None	1.0		
<PK:4-1.1.14944: @(3.456, 41.06)>	14944			3.4563568058018888	41.05781702527773	33.373132539101086	54.74048362963872	17526.17578125	10.224340471350548	None	None	1.0		
<PK:4-1.1.14945: @(3.33, 41.66)>	14945			3.329777582768749	41.66028872311877	29.766612733976917	44.78073273987872	88549.0234375	51.65732532473937	None	None	1.0		
<PK:4-1.1.14946: @(3.184, 40.75)>	14946			3.1836567884419082	40.752447350939484	22.64604270935819	40.727515664437526	764291.5625	445.86892496767825	None	None	1.0		
<PK:4-1.1.14947: @(3.184, 40.75)>	14947			3.1836567884419082	40.752447350939484	22.64604270935819	40.727515664437526	764291.5625	445.86892496767825	None	None	1.0		
<PK:4-1.1.14948: @(3.221, 40.1)>	14948			3.221430018706023	40.1045258029732	28.987134544131038	43.71503145312484	24909.658203125	14.531682762544762	None	None	1.0		
<PK:4-1.1.14949: @(3.104, 40.4)>	14949			3.104205155533103	40.396721810203985	23.658885859335044	49.18720451710015	256460.15625	149.6125559599257	None	None	1.0		
<PK:4-1.1.14950: @(3.115, 39.66)>	14950			3.1148520010444525	39.66195012688953	43.32469931493196	44.99711339240487	217933.140625	127.13684134815841	None	None	1.0		
<PK:4-1.1.14951: @(2.921, 40.42)>	14951			2.9208566589516565	40.42400917658071	39.02050248609898	73.26476296167009	17440.560546875	10.174394646504892	None	None	1.0		
<PK:4-1.1.14952: @(2.91, 39.59)>	14952			2.9102455478245925	39.593257767576574	-201.03588795814727	77.8585722993897	35991.9921875	20.99684420379258	None	None	1.0		
<PK:4-1.1.14953: @(2.721, 40.51)>	14953			2.7211908091495793	40.51002984809205	72.14147645311466	51.79490772602349	54267.08984375	31.658087301934888	None	None	1.0		
<PK:4-1.1.14954: @(2.721, 40.51)>	14954			2.7211908091495793	40.51002984809205	72.14147645311466	51.79490772602349	54267.08984375	31.658087301934888	None	None	1.0		
