_object	#	Assign F1	Assign F2	Pos F1	Pos F2	LW F1 (Hz)	LW F2 (Hz)	Height	S/N	Volume	ClusterId	Merit	Annotation	Comment
<PK:58-581.1.1: @(4.7, 99.89)>	1			4.700379986709001	99.88638622884937	5.71478785087282	76.99172914157639	60747.546875		None	None	1.0		
<PK:58-581.1.2: @(3.199, 99.88)>	2			3.19897222001034	99.88465184155226	20.486505654377783	59.190270296047686	31301.580078125		None	None	1.0		
<PK:58-581.1.3: @(3.168, 99.85)>	3			3.16754818196509	99.84628761046419	16.717684980577356	60.40992521445523	14220.693359375		None	None	1.0		
<PK:58-581.1.4: @(7.32, 99.79)>	4			7.320035951454858	99.78790677390379	14.36765962399731	63.757871390252156	18620.017578125		None	None	1.0		
<PK:58-581.1.5: @(7.301, 99.71)>	5			7.30130342872207	99.7102374340817	8.942867563559826	58.50710034111451	12541.115234375		None	None	1.0		
<PK:58-581.1.6: @(7.13, 99.62)>	6			7.1304786765348	99.6212157776337	13.78122788782301	70.91151451952287	13654.1201171875		None	None	1.0		
<PK:58-581.1.7: @(7.109, 99.64)>	7			7.108950479548522	99.64191230183555	9.411029541530656	56.06116132188923	14033.39453125		None	None	1.0		
<PK:58-581.1.8: @(1.94, 99.68)>	8			1.940117447812801	99.67720084027562	13.187181395597927	87.44505287338896	12019.1220703125		None	None	1.0		
<PK:58-581.1.9: @(0.858, 99.63)>	9			0.8582801532940483	99.63130267831086	16.171812044026733	66.86390298678329	16300.7666015625		None	None	1.0		
<PK:58-581.1.10: @(7.156, 99.58)>	10			7.15616896611964	99.58135631568479	9.77807212620972	56.09871432519659	14779.8896484375		None	None	1.0		
<PK:58-581.1.11: @(4.709, 99.55)>	11			4.709046314076113	99.5489716495779	7.6317638815499915	57.56458301288671	36628.9140625		None	None	1.0		
<PK:58-581.1.12: @(1.812, 99.56)>	12			1.8122164856146075	99.55664598842684	17.621984275487726	73.80933718651976	20625.0390625		None	None	1.0		
<PK:58-581.1.13: @(1.441, 99.58)>	13			1.4412378472076863	99.58172276506293	21.025399641635293	72.09314773861338	40970.02734375		None	None	1.0		
<PK:58-581.1.14: @(1.029, 99.57)>	14			1.0290855524675138	99.57272313730046	18.824060531094258	56.91530079102698	24512.771484375		None	None	1.0		
<PK:58-581.1.15: @(0.799, 99.58)>	15			0.798770352621867	99.57669199370513	10.734276237109516	90.34406919784934	11460.337890625		None	None	1.0		
<PK:58-581.1.16: @(7.331, 99.53)>	16			7.330977094185399	99.52635563502231	11.976900098558783	63.42595368947428	19368.833984375		None	None	1.0		
<PK:58-581.1.17: @(4.69, 99.5)>	17			4.6897774022570005	99.50063172723264	5.63445008503129	60.141109507382474	-89922.796875		None	None	1.0		
<PK:58-581.1.18: @(3.37, 99.52)>	18			3.3699983868968406	99.52145564500321	22.063146715458352	64.71722805569078	39039.1875		None	None	1.0		
<PK:58-581.1.19: @(1.772, 99.49)>	19			1.7719746410571542	99.4869295728368	19.72258085002881	80.97689283187614	42602.48828125		None	None	1.0		
<PK:58-581.1.20: @(1.518, 99.5)>	20			1.5176483242318728	99.50318751458441	23.69838498102927	72.5189125425654	114509.9765625		None	None	1.0		
<PK:58-581.1.21: @(1.388, 99.53)>	21			1.387573134556817	99.53432417318437	15.152922759835512	71.39698917195892	19415.546875		None	None	1.0		
<PK:58-581.1.22: @(0.883, 99.5)>	22			0.8828971868540467	99.50435391373095	14.915090734855463	68.53222474725577	12991.1025390625		None	None	1.0		
<PK:58-581.1.23: @(4.717, 99.43)>	23			4.71653855860572	99.4283841443223	10.05753755378416	58.923309141531185	33817.58984375		None	None	1.0		
<PK:58-581.1.24: @(7.32, 99.38)>	24			7.3204480989710765	99.3794938938354	9.169073727650506	61.30518179972209	15373.0849609375		None	None	1.0		
<PK:58-581.1.25: @(4.706, 99.34)>	25			4.706393756554341	99.33919858353686	4.182465953561351	71.55849035238536	35280.4375		None	None	1.0		
