_object	#	Pid	_object	Spectrum	PeakList	Assign F1	Assign F2	Pos F1	Pos F2	LW F1 (Hz)	LW F2 (Hz)	Height	HeightError	S/N	Volume	VolumeError	ClusterId	Merit	Annotation	Comment
<PK:58-581.1.1: @(3.374, 99.53)>	1	PK:58-581.1.1	<PK:58-581.1.1: @(3.374, 99.53)>	58-581	1			3.373574692438657	99.52962669885652	36.13769196164908	74.61013972413951	38327.68359375			None		None	1.0		
<PK:58-581.1.2: @(1.524, 99.51)>	2	PK:58-581.1.2	<PK:58-581.1.2: @(1.524, 99.51)>	58-581	1			1.5240073422864526	99.50549422537142	-56.026730304345016	96.97650887670925	111266.25			None		None	1.0		
<PK:58-581.1.3: @(1.757, 99.2)>	3	PK:58-581.1.3	<PK:58-581.1.3: @(1.757, 99.2)>	58-581	1			1.7572792525745342	99.1977029023104	71.5916319630848	162.08218813892012	37667.71484375			None		None	1.0		
<PK:58-581.1.4: @(1.33, 98.88)>	4	PK:58-581.1.4	<PK:58-581.1.4: @(1.33, 98.88)>	58-581	1			1.3295659401046347	98.8812195090119	38.150880032051774	76.06893750871969	38369.22265625			None		None	1.0		
<PK:58-581.1.5: @(1.602, 98.74)>	5	PK:58-581.1.5	<PK:58-581.1.5: @(1.602, 98.74)>	58-581	1			1.6019130188216515	98.74021528923065	42.01415830697762	87.03819776168329	112464.265625			None		None	1.0		
<PK:58-581.1.6: @(1.695, 98.71)>	6	PK:58-581.1.6	<PK:58-581.1.6: @(1.695, 98.71)>	58-581	1			1.6953627493337358	98.70635469584343	42.880100245850144	79.81350166611173	98451.3828125			None		None	1.0		
<PK:58-581.1.7: @(0.314, 97.93)>	7	PK:58-581.1.7	<PK:58-581.1.7: @(0.314, 97.93)>	58-581	1			0.31360893276526625	97.93047580473936	32.865072194582325	72.1213639127784	145372.78125			None		None	1.0		
<PK:58-581.1.8: @(3.86, 97.77)>	8	PK:58-581.1.8	<PK:58-581.1.8: @(3.86, 97.77)>	58-581	1			3.8596300841505453	97.77490672319328	39.038048364604066	114.23736228017493	47899.94140625			None		None	1.0		
<PK:58-581.1.9: @(3.8, 97.54)>	9	PK:58-581.1.9	<PK:58-581.1.9: @(3.8, 97.54)>	58-581	1			3.799799345999432	97.54355007388817	36.6615847899363	85.98982931737176	36174.0625			None		None	1.0		
<PK:58-581.1.10: @(4.114, 97.36)>	10	PK:58-581.1.10	<PK:58-581.1.10: @(4.114, 97.36)>	58-581	1			4.114442242259889	97.36172946453243	46.39767576009028	86.90959297169114	47305.8203125			None		None	1.0		
<PK:58-581.1.11: @(3.943, 97.35)>	11	PK:58-581.1.11	<PK:58-581.1.11: @(3.943, 97.35)>	58-581	1			3.94326858330753	97.3473356683812	39.300224624383084	104.1918782588797	66045.96875			None		None	1.0		
